,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD～H以外,month,wod_x,さっぽろ（南北線）,さっぽろ（東豊線）,すすきの,大通（南北線）,大通（東西線）,大通（東豊線）,wod_y,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),J1,J2,J3,J4,J5
2019-06-07,3307.0,1346.0,1961.0,819.0,287.0,327.0,37.0,192.0,299.0,6,4,62095,32430,18778,48600,23567,15665,4,16.160416666666666,235.74305555555554,0.5847222222222223,0.0,0.0,1341.0,970.2077922077922,1373.4025974025974,1440.922077922078,883.8441558441558
2019-06-08,6425.0,3378.0,3047.0,1617.0,526.0,140.0,93.0,186.0,485.0,6,5,60513,32796,22296,52938,23237,16820,5,17.021527777777777,278.7361111111111,0.7875000000000001,0.0,0.0,1371.064935064935,1008.5584415584416,1347.051948051948,1303.7142857142858,852.4285714285714
2019-06-09,6379.0,3841.0,2538.0,1485.0,628.0,52.0,103.0,152.0,118.0,6,6,49617,27531,18403,45194,18939,14420,6,16.64236111111111,318.31944444444446,0.8284722222222222,0.0,0.0,1430.3766233766235,869.3376623376623,1212.064935064935,1386.9610389610389,922.2727272727273
2019-06-10,3222.0,2004.0,1218.0,558.0,187.0,16.0,64.0,200.0,193.0,6,0,54827,31180,15328,41348,21191,14523,0,17.796527777777776,175.47222222222223,0.51875,0.0,0.0,1298.2467532467533,954.9480519480519,1424.7272727272727,1302.8181818181818,750.7012987012987
2019-06-11,2967.0,1527.0,1440.0,581.0,312.0,42.0,59.0,218.0,228.0,6,1,54397,33217,14766,41443,20464,14860,1,17.320138888888888,158.98611111111111,0.6763888888888889,0.0,0.0,1245.6103896103896,944.9350649350649,1365.090909090909,1359.4545454545455,756.5064935064935
2019-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,53009,34905,13652,44217,20657,15588,2,16.447222222222223,306.96527777777777,0.9527777777777777,0.0,0.0,1407.948051948052,954.3246753246754,1352.3116883116884,1504.7012987012988,838.7142857142857
2019-06-13,2959.0,1372.0,1587.0,894.0,107.0,37.0,60.0,201.0,288.0,6,3,56099,33396,15289,42483,20755,14870,3,15.369444444444444,297.6111111111111,0.6743055555555555,0.0,0.0,1474.4675324675325,943.5064935064935,1231.8051948051948,1543.2077922077922,870.2857142857143
2019-06-14,4158.0,2040.0,2118.0,975.0,441.0,13.0,70.0,286.0,333.0,6,4,67381,36579,20633,53354,24160,17025,4,18.850694444444443,153.56944444444446,1.0708333333333333,0.0,0.0,1217.090909090909,1012.922077922078,1308.6883116883116,1407.6493506493507,694.0909090909091
2019-06-15,4749.0,2759.0,1990.0,1044.0,434.0,88.0,66.0,116.0,242.0,6,5,68761,31442,23953,54556,19395,13963,5,17.578472222222224,140.58333333333334,1.4430555555555555,2.0,0.0,1332.8311688311687,1053.7922077922078,1363.4935064935064,1394.6103896103896,744.922077922078
2019-06-16,2355.0,1531.0,824.0,413.0,219.0,23.0,36.0,40.0,93.0,6,6,51156,24032,18187,40997,14061,10321,6,16.504166666666666,306.9166666666667,0.9090277777777778,12.5,0.0,1496.6753246753246,864.025974025974,1242.7922077922078,1438.4285714285713,816.5584415584416
